Название организации;Город;Телефон;Ссылка на сайт;Соц. сети
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
Гарант; Москва;+7 (495) 120-59-98;https://garantlc.ru/;[[' telegram', 'https://t.me/uk_garant'], [' vkontakte', 'https://vk.com/garantlc'], [' whatsapp', 'https://wa.me/79148427842']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Адвокат Великий О.В.; Москва;+7 (901) 417-38-23;http://advocatvelikiy.ru/;[[' whatsapp', 'https://wa.me/79168065424']]
Правосудие; Курск;+7 (4712) 77-02-65;https://юц-правосудие.рф/;[[' ok', 'https://ok.ru/uc.pravosudie'], [' telegram', 'https://t.me/uc_pravosudie31'], [' viber', 'https://viber.click/79513236836'], [' vkontakte', 'https://vk.com/uc_pravosudie'], [' whatsapp', 'https://wa.me/79513236836'], [' youtube', 'https://www.youtube.com/@uc-pravosudie31']]
Инока; Москва;+7 (495) 124-80-69;https://inoka.ru/;[[' telegram', 'https://t.me/vladimir_inoka'], [' whatsapp', 'https://wa.me/79995772888'], [' youtube', 'https://www.youtube.com/@user-xe1nz2uo3u']]
Шалаевский и партнеры; Вологда;+7 (911) 501-08-88;;[[' ok', 'https://ok.ru/nikolay.shalaevsky'], [' telegram', 'https://t.me/89115010888'], [' viber', 'https://viber.click/89115010888'], [' vkontakte', 'https://vk.com/vk500888'], [' whatsapp', 'https://wa.me/89115010888'], [' youtube', 'https://www.youtube.com/channel/UCdf-x20RNpC6KjCdfPAwWDA']]
Адвокат С. Г. Лыткин; Москва;+7 (916) 872-35-05;http://www.sudprof.ru/;[]
АВТ Консалтинг; Москва;+7 (495) 120-32-68;https://www.avtconsulting.ru/;[[' vkontakte', 'https://vk.com/club160728496'], [' youtube', 'https://www.youtube.com/channel/UCXSj9KOW9aGEOzOeCCNH4Pw']]
Династия; Москва;+7 (916) 191-18-70;https://dinasti9.com/;[[' youtube', 'http://youtube.com/channel/UC7WiDnSVAKEuxVvYyQ22zFg'], [' ok', 'https://ok.ru/group/58861068812386'], [' telegram', 'https://t.me/ngrigory'], [' whatsapp', 'https://wa.me/79161911870']]
Первая правовая помощь; Уфа;+7 (903) 310-10-30;;[[' telegram', 'https://t.me/pervoepravo'], [' viber', 'https://viber.click/79033101030'], [' vkontakte', 'https://vk.com/pervoe_pravo'], [' whatsapp', 'https://wa.me/79033101030']]
Ваш адвокат; Москва;+7 (901) 417-99-83;https://advokat-gareev-a-r.clients.site/;[[' telegram', 'https://t.me/a2kaat'], [' whatsapp', 'https://wa.me/79997117555']]
Юридическая компания Давыдовского; Москва;+7 (915) 062-22-11;https://www.dvdv.me/;[[' viber', 'https://viber.click/79150622211'], [' vkontakte', 'https://vk.com/id582447722'], [' whatsapp', 'https://wa.me/79150622211']]
2Лекс; Москва;8 (800) 600-87-49;https://2lex.ru/;[[' ok', 'https://ok.ru/group/54730041458804'], [' vkontakte', 'https://vk.com/bankrotstvo_fizicheskih_lits'], [' youtube', 'https://www.youtube.com/channel/UCuiRlLDJhI1cpVNsFmeR2uQ']]
Хелп Консалтинг; Москва;+7 (495) 150-07-65;https://h-cons.ru/;[[' telegram', 'https://t.me/h_cons_ru'], [' vkontakte', 'https://vk.com/ddu_help'], [' whatsapp', 'https://wa.me/79854872211'], [' youtube', 'https://www.youtube.com/c/helpddu']]
Финлекс; Самара;+7 (927) 212-77-44;http://финлекс.рф/;[[' vkontakte', 'http://vk.com/ffinlex'], [' whatsapp', 'https://wa.me/79272127744'], [' youtube', 'https://www.youtube.com/watch?v=G6vUrF5g8X4']]
Юридическая служба Альфа-М; Москва;+7 (915) 136-06-55;https://juridicheskaja-sluzhba-alfa-m.clients.site/;[]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
Гарант; Москва;+7 (495) 120-59-98;https://garantlc.ru/;[[' telegram', 'https://t.me/uk_garant'], [' vkontakte', 'https://vk.com/garantlc'], [' whatsapp', 'https://wa.me/79148427842']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Адвокат Великий О.В.; Москва;+7 (901) 417-38-23;http://advocatvelikiy.ru/;[[' whatsapp', 'https://wa.me/79168065424']]
Правосудие; Курск;+7 (4712) 77-02-65;https://юц-правосудие.рф/;[[' ok', 'https://ok.ru/uc.pravosudie'], [' telegram', 'https://t.me/uc_pravosudie31'], [' viber', 'https://viber.click/79513236836'], [' vkontakte', 'https://vk.com/uc_pravosudie'], [' whatsapp', 'https://wa.me/79513236836'], [' youtube', 'https://www.youtube.com/@uc-pravosudie31']]
Инока; Москва;+7 (495) 124-80-69;https://inoka.ru/;[[' telegram', 'https://t.me/vladimir_inoka'], [' whatsapp', 'https://wa.me/79995772888'], [' youtube', 'https://www.youtube.com/@user-xe1nz2uo3u']]
Шалаевский и партнеры; Вологда;+7 (911) 501-08-88;;[[' ok', 'https://ok.ru/nikolay.shalaevsky'], [' telegram', 'https://t.me/89115010888'], [' viber', 'https://viber.click/89115010888'], [' vkontakte', 'https://vk.com/vk500888'], [' whatsapp', 'https://wa.me/89115010888'], [' youtube', 'https://www.youtube.com/channel/UCdf-x20RNpC6KjCdfPAwWDA']]
Адвокат С. Г. Лыткин; Москва;+7 (916) 872-35-05;http://www.sudprof.ru/;[]
АВТ Консалтинг; Москва;+7 (495) 120-32-68;https://www.avtconsulting.ru/;[[' vkontakte', 'https://vk.com/club160728496'], [' youtube', 'https://www.youtube.com/channel/UCXSj9KOW9aGEOzOeCCNH4Pw']]
Династия; Москва;+7 (916) 191-18-70;https://dinasti9.com/;[[' youtube', 'http://youtube.com/channel/UC7WiDnSVAKEuxVvYyQ22zFg'], [' ok', 'https://ok.ru/group/58861068812386'], [' telegram', 'https://t.me/ngrigory'], [' whatsapp', 'https://wa.me/79161911870']]
Первая правовая помощь; Уфа;+7 (903) 310-10-30;;[[' telegram', 'https://t.me/pervoepravo'], [' viber', 'https://viber.click/79033101030'], [' vkontakte', 'https://vk.com/pervoe_pravo'], [' whatsapp', 'https://wa.me/79033101030']]
Ваш адвокат; Москва;+7 (901) 417-99-83;https://advokat-gareev-a-r.clients.site/;[[' telegram', 'https://t.me/a2kaat'], [' whatsapp', 'https://wa.me/79997117555']]
ФЦБ; Курск;+7 (4712) 23-90-03;https://фцб.рф/kursk?utm_source=yamaps_uk;[[' telegram', 'https://t.me/fedcentrbankrotctva'], [' vkontakte', 'https://vk.com/fcb_bfl'], [' whatsapp', 'https://wa.me/797872701010']]
Центр Банкротства Граждан; Волгоград;+7 (8442) 60-92-92;https://kreditanet.ru/;[[' vkontakte', 'http://vk.com/kreditanet34'], [' ok', 'https://ok.ru/kreditanet34'], [' telegram', 'https://t.me/kreditanet134'], [' viber', 'https://viber.click/79627599292'], [' whatsapp', 'https://wa.me/79627599292'], [' youtube', 'https://www.youtube.com/c/ЦентрБанкротстваГраждан']]
Фабрика Права; Белгород;+7 (4722) 77-72-16;https://fabrika-prava.ru/;[[' ok', 'https://ok.ru/fabrikaprava'], [' telegram', 'https://t.me/Fabrika_Prava'], [' vkontakte', 'https://vk.com/fabrikaprava_ru'], [' whatsapp', 'https://wa.me/79107416076'], [' youtube', 'https://www.youtube.com/channel/UChtGbNCOScw525WfbaZMbCw']]
Центр списания долгов; Калуга;+7 (924) 914-02-44;https://служба-списания-долгов.рф/;[[' ok', 'https://ok.ru/group/57400711381168'], [' telegram', 'https://t.me/Bankrot40'], [' vkontakte', 'https://vk.com/csdkaluga'], [' whatsapp', 'https://wa.me/79200974500'], [' youtube', 'https://www.youtube.com/channel/UCISAH63eNUHxujrRHYfjXXw']]
Юстэк; Волгоград;+7 (902) 360-94-46;https://yustek.ru/;[[' ok', 'http://ok.ru/group/58740495417409'], [' vkontakte', 'https://vk.com/yustek'], [' whatsapp', 'https://wa.me/79023609446']]
Бизнес-юрист; Краснодар;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Банкрот Баланс; Орехово-Зуево;+7 (901) 731-58-75;http://bankrotbalance.ru/;[[' ok', 'https://ok.ru/aleksey.ragulsky'], [' telegram', 'https://t.me/79778355805'], [' viber', 'https://viber.click/79850279721'], [' vkontakte', 'https://vk.com/bankrotbalance'], [' whatsapp', 'https://wa.me/79778355805'], [' youtube', 'https://www.youtube.com/channel/UC679eR62pZ9a3oHeyaKIB5w/videos']]
Современная Защита; Москва;8 (800) 301-48-71;http://sovz.ru/;[[' ok', 'https://ok.ru/group/53567870664904'], [' telegram', 'https://t.me/sovz_ru'], [' youtube', 'https://www.youtube.com/channel/UCjGwtt9SB5AS8J0r5zk8i6Q']]
Экспертно-правовой центр; Альметьевск;+7 (950) 949-44-35;https://epcrt.ru/;[[' vkontakte', 'https://vk.com/club74531581'], [' youtube', 'https://youtube.com/@epcrt']]
Гарант; Москва;+7 (495) 120-59-98;https://garantlc.ru/;[[' telegram', 'https://t.me/uk_garant'], [' vkontakte', 'https://vk.com/garantlc'], [' whatsapp', 'https://wa.me/79148427842']]
БоссБанкрот; Уфа;+7 (927) 945-47-03;https://bossbankrot.ru/;[[' telegram', 'https://t.me/bossbankrot'], [' vkontakte', 'https://vk.com/probankrotctvo'], [' whatsapp', 'https://wa.me/79279454703'], [' youtube', 'https://youtube.com/@Bossbankrot']]
Адвокат Великий О.В.; Москва;+7 (901) 417-38-23;http://advocatvelikiy.ru/;[[' whatsapp', 'https://wa.me/79168065424']]
Правосудие; Курск;+7 (4712) 77-02-65;https://юц-правосудие.рф/;[[' ok', 'https://ok.ru/uc.pravosudie'], [' telegram', 'https://t.me/uc_pravosudie31'], [' viber', 'https://viber.click/79513236836'], [' vkontakte', 'https://vk.com/uc_pravosudie'], [' whatsapp', 'https://wa.me/79513236836'], [' youtube', 'https://www.youtube.com/@uc-pravosudie31']]
Инока; Москва;+7 (495) 124-80-69;https://inoka.ru/;[[' telegram', 'https://t.me/vladimir_inoka'], [' whatsapp', 'https://wa.me/79995772888'], [' youtube', 'https://www.youtube.com/@user-xe1nz2uo3u']]
Шалаевский и партнеры; Вологда;+7 (911) 501-08-88;;[[' ok', 'https://ok.ru/nikolay.shalaevsky'], [' telegram', 'https://t.me/89115010888'], [' viber', 'https://viber.click/89115010888'], [' vkontakte', 'https://vk.com/vk500888'], [' whatsapp', 'https://wa.me/89115010888'], [' youtube', 'https://www.youtube.com/channel/UCdf-x20RNpC6KjCdfPAwWDA']]
Адвокат С. Г. Лыткин; Москва;+7 (916) 872-35-05;http://www.sudprof.ru/;[]
